	chr	end	ensemblgene	start	strand
ENSMUSG00000000738	8	123824499	ENSMUSG00000000738	123789681	1
ENSMUSG00000000740	8	123831983	ENSMUSG00000000740	123829089	1
ENSMUSG00000000743	8	123939502	ENSMUSG00000000743	123931003	-1
ENSMUSG00000000751	11	75239150	ENSMUSG00000000751	75188992	-1
ENSMUSG00000000753	11	75313527	ENSMUSG00000000753	75300595	-1
ENSMUSG00000000759	8	12722248	ENSMUSG00000000759	12664277	-1
ENSMUSG00000000776	14	70680887	ENSMUSG00000000776	70676197	-1
ENSMUSG00000000782	11	52174158	ENSMUSG00000000782	52143198	-1
ENSMUSG00000000787	X	13160291	ENSMUSG00000000787	13147209	1
ENSMUSG00000000804	11	85030987	ENSMUSG00000000804	84875268	-1
ENSMUSG00000000811	6	89652511	ENSMUSG00000000811	89620970	1
ENSMUSG00000000823	2	181234596	ENSMUSG00000000823	181223896	-1
ENSMUSG00000000826	2	181196926	ENSMUSG00000000826	181162278	1
ENSMUSG00000000827	2	181159759	ENSMUSG00000000827	181138935	1
ENSMUSG00000000838	X	67761569	ENSMUSG00000000838	67722147	1
ENSMUSG00000000876	2	154445628	ENSMUSG00000000876	154427678	-1
ENSMUSG00000000881	X	99862016	ENSMUSG00000000881	99811328	1
ENSMUSG00000000901	10	75772330	ENSMUSG00000000901	75759056	-1
ENSMUSG00000000902	10	75757451	ENSMUSG00000000902	75732603	-1
ENSMUSG00000000915	5	124143621	ENSMUSG00000000915	124111691	1
ENSMUSG00000000916	5	135405659	ENSMUSG00000000916	135398807	1
ENSMUSG00000000934	15	75550649	ENSMUSG00000000934	75528884	-1
ENSMUSG00000000938	6	52217834	ENSMUSG00000000938	52208177	-1
ENSMUSG00000000957	14	54682821	ENSMUSG00000000957	54669069	1
ENSMUSG00000000958	14	54655237	ENSMUSG00000000958	54606899	-1
ENSMUSG00000000959	14	54607130	ENSMUSG00000000959	54598291	1
ENSMUSG00000000976	11	83674580	ENSMUSG00000000976	83644522	1
ENSMUSG00000001016	3	90395686	ENSMUSG00000001016	90383433	1
ENSMUSG00000001017	3	90416805	ENSMUSG00000001017	90406263	-1
ENSMUSG00000001018	3	90398340	ENSMUSG00000001018	90395333	-1
ENSMUSG00000001020	3	90513352	ENSMUSG00000001020	90511078	1
ENSMUSG00000001021	3	90510009	ENSMUSG00000001021	90491966	1
ENSMUSG00000001023	3	90519087	ENSMUSG00000001023	90515830	1
ENSMUSG00000001025	3	90531488	ENSMUSG00000001025	90520189	1
ENSMUSG00000001027	11	106244114	ENSMUSG00000001027	106209418	-1
ENSMUSG00000001034	11	61385232	ENSMUSG00000001034	61379638	-1
ENSMUSG00000001036	11	61470513	ENSMUSG00000001036	61408075	-1
ENSMUSG00000001039	11	61403757	ENSMUSG00000001039	61395970	1
ENSMUSG00000001052	3	129855202	ENSMUSG00000001052	129776408	-1
ENSMUSG00000001054	11	51526723	ENSMUSG00000001054	51514498	-1
ENSMUSG00000001056	11	51514541	ENSMUSG00000001056	51510562	1
ENSMUSG00000001062	8	123981087	ENSMUSG00000001062	123969095	-1
ENSMUSG00000001065	8	123996484	ENSMUSG00000001065	123980934	1
ENSMUSG00000001082	5	34794556	ENSMUSG00000001082	34790986	-1
ENSMUSG00000001089	4	136282091	ENSMUSG00000001089	136197072	1
ENSMUSG00000001098	5	114518569	ENSMUSG00000001098	114501628	-1
ENSMUSG00000001100	11	78413562	ENSMUSG00000001100	78403019	1
ENSMUSG00000001105	11	78432563	ENSMUSG00000001105	78427187	1
ENSMUSG00000001119	10	76562002	ENSMUSG00000001119	76544626	-1
ENSMUSG00000001120	10	76797721	ENSMUSG00000001120	76597691	-1
ENSMUSG00000001123	11	78875772	ENSMUSG00000001123	78853800	-1
ENSMUSG00000001127	X	20726758	ENSMUSG00000001127	20664053	1
ENSMUSG00000001128	X	20797794	ENSMUSG00000001128	20791693	-1
ENSMUSG00000001131	X	20740974	ENSMUSG00000001131	20736405	1
ENSMUSG00000001134	X	20828256	ENSMUSG00000001134	20807961	-1
ENSMUSG00000001138	1	36567318	ENSMUSG00000001138	36550948	1
ENSMUSG00000001143	1	36484352	ENSMUSG00000001143	36458952	-1
ENSMUSG00000001150	10	76351691	ENSMUSG00000001150	76304761	1
ENSMUSG00000001151	10	76278620	ENSMUSG00000001151	76187097	-1
ENSMUSG00000001156	6	86646143	ENSMUSG00000001156	86624024	-1
ENSMUSG00000001157	6	86710365	ENSMUSG00000001157	86668750	-1
ENSMUSG00000001158	6	86661504	ENSMUSG00000001158	86652133	-1
ENSMUSG00000001173	X	47054745	ENSMUSG00000001173	47001264	1
ENSMUSG00000001211	10	78188323	ENSMUSG00000001211	78105012	-1
ENSMUSG00000001240	11	101150372	ENSMUSG00000001240	101136854	1
ENSMUSG00000001248	7	30855321	ENSMUSG00000001248	30829552	-1
ENSMUSG00000001270	12	111638772	ENSMUSG00000001270	111635795	-1
ENSMUSG00000001300	8	8711242	ENSMUSG00000001300	8667434	-1
ENSMUSG00000001305	1	186481555	ENSMUSG00000001305	186453175	-1
ENSMUSG00000001313	11	101362679	ENSMUSG00000001313	101355825	1
ENSMUSG00000001323	11	74816774	ENSMUSG00000001323	74797185	-1
ENSMUSG00000001333	4	129202352	ENSMUSG00000001333	129181410	1
ENSMUSG00000001348	9	22047007	ENSMUSG00000001348	22038023	-1
ENSMUSG00000001349	9	22020926	ENSMUSG00000001349	22010512	1
ENSMUSG00000001366	9	78016347	ENSMUSG00000001366	77988781	-1
ENSMUSG00000001376	6	3603531	ENSMUSG00000001376	3498382	1
ENSMUSG00000001403	2	164620742	ENSMUSG00000001403	164611818	1
ENSMUSG00000001415	3	88269645	ENSMUSG00000001415	88243567	1
ENSMUSG00000001416	3	88229074	ENSMUSG00000001416	88204423	1
ENSMUSG00000001418	3	88238620	ENSMUSG00000001418	88232330	1
ENSMUSG00000001419	3	88079393	ENSMUSG00000001419	88049679	1
ENSMUSG00000001420	3	88243455	ENSMUSG00000001420	88235962	-1
ENSMUSG00000001424	6	28935161	ENSMUSG00000001424	28475138	1
ENSMUSG00000001435	10	77002382	ENSMUSG00000001435	76888012	-1
ENSMUSG00000001436	10	76896836	ENSMUSG00000001436	76868075	1
ENSMUSG00000001440	11	97078707	ENSMUSG00000001440	97050540	-1
ENSMUSG00000001441	11	97171464	ENSMUSG00000001441	97096668	-1
ENSMUSG00000001445	11	96940039	ENSMUSG00000001445	96932386	1
ENSMUSG00000001467	5	4154746	ENSMUSG00000001467	4131145	-1
ENSMUSG00000001472	8	124130574	ENSMUSG00000001472	124100492	1
ENSMUSG00000001482	8	124190009	ENSMUSG00000001482	124150266	1
ENSMUSG00000001497	12	56759607	ENSMUSG00000001497	56738552	1
ENSMUSG00000001504	13	72782317	ENSMUSG00000001504	72776939	1
ENSMUSG00000001507	11	94967627	ENSMUSG00000001507	94935300	-1
ENSMUSG00000001517	6	128353109	ENSMUSG00000001517	128339930	1
ENSMUSG00000001518	6	128401894	ENSMUSG00000001518	128386407	-1
ENSMUSG00000001521	6	128332814	ENSMUSG00000001521	128298124	-1
ENSMUSG00000001542	13	75920483	ENSMUSG00000001542	75854876	1
ENSMUSG00000001552	11	100288589	ENSMUSG00000001552	100259784	-1
ENSMUSG00000001555	11	100315650	ENSMUSG00000001555	100306523	1
ENSMUSG00000001558	11	100347848	ENSMUSG00000001558	100332743	1
ENSMUSG00000001569	5	29662841	ENSMUSG00000001569	29639662	1
ENSMUSG00000001604	4	136002209	ENSMUSG00000001604	135975040	1
ENSMUSG00000001627	12	40298503	ENSMUSG00000001627	40251566	-1
ENSMUSG00000001630	6	146680310	ENSMUSG00000001630	146626493	1
ENSMUSG00000001632	6	113301821	ENSMUSG00000001632	113284098	1
ENSMUSG00000001642	6	34294413	ENSMUSG00000001642	34279369	-1
ENSMUSG00000001663	10	75634418	ENSMUSG00000001663	75619647	-1
ENSMUSG00000001665	10	75617248	ENSMUSG00000001665	75609949	-1
ENSMUSG00000001666	10	75609248	ENSMUSG00000001666	75607064	-1
ENSMUSG00000001674	1	121495718	ENSMUSG00000001674	121481564	-1
ENSMUSG00000001687	5	148489599	ENSMUSG00000001687	148441445	-1
ENSMUSG00000001707	13	38843034	ENSMUSG00000001707	38828183	-1
ENSMUSG00000001729	12	112641318	ENSMUSG00000001729	112620255	-1
ENSMUSG00000001739	5	137004712	ENSMUSG00000001739	136995470	1
ENSMUSG00000001741	7	83394934	ENSMUSG00000001741	83292033	-1
ENSMUSG00000001751	11	100968498	ENSMUSG00000001751	100960838	1
ENSMUSG00000001755	11	100977445	ENSMUSG00000001755	100973391	1
ENSMUSG00000001761	6	29761364	ENSMUSG00000001761	29735502	1
ENSMUSG00000001767	2	145776934	ENSMUSG00000001767	145759399	-1
ENSMUSG00000001768	2	145729536	ENSMUSG00000001768	145517135	1
ENSMUSG00000001774	9	18228738	ENSMUSG00000001774	18203421	1
ENSMUSG00000001783	10	85793687	ENSMUSG00000001783	85774501	-1
ENSMUSG00000001785	10	85724960	ENSMUSG00000001785	85665358	1
ENSMUSG00000001786	10	85887737	ENSMUSG00000001786	85857836	1
ENSMUSG00000001794	7	29898236	ENSMUSG00000001794	29886361	-1
ENSMUSG00000001802	7	34914923	ENSMUSG00000001802	34899452	-1
ENSMUSG00000001829	7	101444713	ENSMUSG00000001829	101312840	1
ENSMUSG00000001833	9	25219867	ENSMUSG00000001833	25163735	1
ENSMUSG00000001844	5	143315011	ENSMUSG00000001844	143302244	-1
ENSMUSG00000001847	5	143513791	ENSMUSG00000001847	143489389	-1
ENSMUSG00000001855	2	31943987	ENSMUSG00000001855	31864448	1
ENSMUSG00000001864	2	31863454	ENSMUSG00000001864	31840151	1
ENSMUSG00000001891	11	21321201	ENSMUSG00000001891	21271138	-1
ENSMUSG00000001909	8	85426437	ENSMUSG00000001909	85412936	1
ENSMUSG00000001910	8	85414531	ENSMUSG00000001910	85397108	-1
ENSMUSG00000001911	8	85526973	ENSMUSG00000001911	85426505	-1
ENSMUSG00000001918	7	16532199	ENSMUSG00000001918	16515265	1
ENSMUSG00000001924	X	20549418	ENSMUSG00000001924	20524565	1
ENSMUSG00000001942	9	37560951	ENSMUSG00000001942	37466994	1
ENSMUSG00000001948	9	37525018	ENSMUSG00000001948	37514586	-1
ENSMUSG00000001962	X	73363755	ENSMUSG00000001962	73356639	1
ENSMUSG00000001964	X	73305154	ENSMUSG00000001964	73298293	1
ENSMUSG00000001983	11	105964438	ENSMUSG00000001983	105956887	1
ENSMUSG00000001985	4	125607966	ENSMUSG00000001985	125384493	1
ENSMUSG00000001986	X	40767478	ENSMUSG00000001986	40489731	1
ENSMUSG00000001995	8	126296547	ENSMUSG00000001995	126144802	-1
ENSMUSG00000001998	2	126909829	ENSMUSG00000001998	126850637	1
ENSMUSG00000001999	2	126939004	ENSMUSG00000001999	126912585	1
ENSMUSG00000002006	X	72868575	ENSMUSG00000002006	72836965	-1
ENSMUSG00000002010	X	72830503	ENSMUSG00000002010	72822569	-1
ENSMUSG00000002012	X	72703723	ENSMUSG00000002012	72699600	-1
ENSMUSG00000002014	X	72834436	ENSMUSG00000002014	72830634	1
ENSMUSG00000002015	X	72759781	ENSMUSG00000002015	72729784	-1
ENSMUSG00000002020	12	84923306	ENSMUSG00000002020	84829986	-1
ENSMUSG00000002028	9	44792594	ENSMUSG00000002028	44714652	-1
ENSMUSG00000002031	9	44704744	ENSMUSG00000002031	44679205	1
ENSMUSG00000002043	7	19250070	ENSMUSG00000002043	19242320	1
ENSMUSG00000002052	11	78136813	ENSMUSG00000002052	78097572	-1
ENSMUSG00000002055	11	78213283	ENSMUSG00000002055	78192355	1
ENSMUSG00000002058	11	78239990	ENSMUSG00000002058	78234308	1
ENSMUSG00000002059	11	78083019	ENSMUSG00000002059	78079256	1
ENSMUSG00000002064	11	78146322	ENSMUSG00000002064	78136572	1
ENSMUSG00000002068	7	37806959	ENSMUSG00000002068	37797409	-1
ENSMUSG00000002083	7	16052130	ENSMUSG00000002083	16042318	1
ENSMUSG00000002102	2	90896714	ENSMUSG00000002102	90884354	1
ENSMUSG00000002103	2	91044443	ENSMUSG00000002103	91033230	1
ENSMUSG00000002105	2	90900762	ENSMUSG00000002105	90892136	-1
ENSMUSG00000002107	2	7514374	ENSMUSG00000002107	6544505	-1
ENSMUSG00000002108	2	91033179	ENSMUSG00000002108	91014406	-1
ENSMUSG00000002109	2	91067327	ENSMUSG00000002109	91041917	-1
ENSMUSG00000002129	11	4132541	ENSMUSG00000002129	4110350	1
ENSMUSG00000002147	10	127496826	ENSMUSG00000002147	127478855	1
ENSMUSG00000002205	7	44426939	ENSMUSG00000002205	44397837	1
ENSMUSG00000002210	7	24122203	ENSMUSG00000002210	24099044	1
ENSMUSG00000002221	5	27996689	ENSMUSG00000002221	27945078	-1
ENSMUSG00000002222	6	71417621	ENSMUSG00000002222	71365618	-1
ENSMUSG00000002227	3	104725879	ENSMUSG00000002227	104702152	-1
ENSMUSG00000002233	3	104701775	ENSMUSG00000002233	104695691	1
ENSMUSG00000002265	7	6733430	ENSMUSG00000002265	6706891	-1
ENSMUSG00000002297	5	8472716	ENSMUSG00000002297	8446973	-1
ENSMUSG00000002319	14	55873414	ENSMUSG00000002319	55862857	-1
ENSMUSG00000002320	14	55881263	ENSMUSG00000002320	55873422	-1
ENSMUSG00000002325	14	55847487	ENSMUSG00000002325	55841028	1
ENSMUSG00000002326	14	55916657	ENSMUSG00000002326	55909398	1
ENSMUSG00000002329	14	55897965	ENSMUSG00000002329	55895336	-1
ENSMUSG00000002332	14	55983147	ENSMUSG00000002332	55976477	-1
ENSMUSG00000002342	8	70636331	ENSMUSG00000002342	70625006	1
ENSMUSG00000002343	8	70687116	ENSMUSG00000002343	70672822	-1
ENSMUSG00000002345	8	70599969	ENSMUSG00000002345	70592149	1
ENSMUSG00000002346	8	70664955	ENSMUSG00000002346	70636990	-1
ENSMUSG00000002393	8	71834604	ENSMUSG00000002393	71826767	-1
ENSMUSG00000002395	8	71822376	ENSMUSG00000002395	71819492	1
ENSMUSG00000002396	8	71832005	ENSMUSG00000002396	71823942	1
ENSMUSG00000002409	7	27886719	ENSMUSG00000002409	27878894	1
ENSMUSG00000002413	6	39702397	ENSMUSG00000002413	39580171	-1
ENSMUSG00000002416	6	39580316	ENSMUSG00000002416	39569508	1
ENSMUSG00000002428	3	20172654	ENSMUSG00000002428	20111975	1
ENSMUSG00000002455	2	181297453	ENSMUSG00000002455	181233661	1
ENSMUSG00000002458	2	181335770	ENSMUSG00000002458	181330212	-1
ENSMUSG00000002459	1	5140508	ENSMUSG00000002459	4979799	-1
ENSMUSG00000002486	5	114860388	ENSMUSG00000002486	114845821	1
ENSMUSG00000002524	15	75952773	ENSMUSG00000002524	75942031	-1
ENSMUSG00000002546	2	32197933	ENSMUSG00000002546	32177396	1
ENSMUSG00000002550	2	32150171	ENSMUSG00000002550	32145014	-1
ENSMUSG00000002580	11	98329817	ENSMUSG00000002580	98328534	-1
ENSMUSG00000002602	7	25488130	ENSMUSG00000002602	25456698	-1
ENSMUSG00000002603	7	25404502	ENSMUSG00000002603	25386427	1
ENSMUSG00000002608	7	25418513	ENSMUSG00000002608	25410531	-1
ENSMUSG00000002635	7	33896086	ENSMUSG00000002635	33883924	-1
ENSMUSG00000002679	12	81641782	ENSMUSG00000002679	81620331	-1
ENSMUSG00000002688	12	50695881	ENSMUSG00000002688	50388014	-1
ENSMUSG00000002718	2	166788309	ENSMUSG00000002718	166747960	1
ENSMUSG00000002728	2	145758345	ENSMUSG00000002728	145744019	1
ENSMUSG00000002731	2	76478359	ENSMUSG00000002731	76460242	-1
ENSMUSG00000002732	2	76503460	ENSMUSG00000002732	76493388	-1
ENSMUSG00000002733	2	76527172	ENSMUSG00000002733	76505625	1
ENSMUSG00000002741	11	5917780	ENSMUSG00000002741	5905693	1
ENSMUSG00000002748	5	135274983	ENSMUSG00000002748	135216118	1
ENSMUSG00000002771	7	45527802	ENSMUSG00000002771	45481307	-1
ENSMUSG00000002778	7	45533156	ENSMUSG00000002778	45522196	1
ENSMUSG00000002781	7	45566837	ENSMUSG00000002781	45546365	1
ENSMUSG00000002797	6	54969935	ENSMUSG00000002797	54959565	-1
ENSMUSG00000002803	12	112942565	ENSMUSG00000002803	112940102	1
ENSMUSG00000002804	12	112905744	ENSMUSG00000002804	112897911	-1
ENSMUSG00000002808	13	19804097	ENSMUSG00000002808	19775876	-1
ENSMUSG00000002812	11	60618089	ENSMUSG00000002812	60604949	-1
ENSMUSG00000002814	11	60668191	ENSMUSG00000002814	60630884	-1
ENSMUSG00000002820	9	21189068	ENSMUSG00000002820	21176589	1
ENSMUSG00000002825	9	21331570	ENSMUSG00000002825	21323133	1
ENSMUSG00000002870	6	88875762	ENSMUSG00000002870	88860456	-1
ENSMUSG00000002871	6	88889220	ENSMUSG00000002871	88879233	1
ENSMUSG00000002881	1	52539838	ENSMUSG00000002881	52496453	-1
ENSMUSG00000002885	8	84467955	ENSMUSG00000002885	84449880	-1
ENSMUSG00000002897	6	120464520	ENSMUSG00000002897	120440208	1
ENSMUSG00000002900	12	31379643	ENSMUSG00000002900	31315233	1
ENSMUSG00000002908	8	71315902	ENSMUSG00000002908	71294693	-1
ENSMUSG00000002910	8	71292364	ENSMUSG00000002910	71287773	-1
ENSMUSG00000002948	8	4297897	ENSMUSG00000002948	4288740	1
ENSMUSG00000002949	8	4325913	ENSMUSG00000002949	4309731	-1
ENSMUSG00000002957	7	141212924	ENSMUSG00000002957	141142086	1
ENSMUSG00000002963	7	44512416	ENSMUSG00000002963	44506563	1
ENSMUSG00000002968	7	44542136	ENSMUSG00000002968	44526189	-1
ENSMUSG00000002980	7	19504941	ENSMUSG00000002980	19490056	-1
ENSMUSG00000002981	7	19398958	ENSMUSG00000002981	19365496	-1
ENSMUSG00000002983	7	19363363	ENSMUSG00000002983	19340142	-1
ENSMUSG00000002984	7	19449363	ENSMUSG00000002984	19435238	-1
ENSMUSG00000002985	7	19433113	ENSMUSG00000002985	19430034	-1
ENSMUSG00000002996	12	32000534	ENSMUSG00000002996	31976253	-1
ENSMUSG00000002997	12	32111295	ENSMUSG00000002997	32008475	-1
ENSMUSG00000003031	6	134902476	ENSMUSG00000003031	134897364	1
ENSMUSG00000003032	4	55532466	ENSMUSG00000003032	55527143	-1
ENSMUSG00000003033	8	73011229	ENSMUSG00000003033	72993862	1
ENSMUSG00000003037	8	72937748	ENSMUSG00000003037	72915044	1
ENSMUSG00000003038	4	133695961	ENSMUSG00000003038	133692049	-1
ENSMUSG00000003039	8	72978262	ENSMUSG00000003039	72973574	1
ENSMUSG00000003062	13	19579965	ENSMUSG00000003062	19541846	-1
ENSMUSG00000003068	10	79966516	ENSMUSG00000003068	79951637	1
ENSMUSG00000003070	10	80025844	ENSMUSG00000003070	80015316	1
ENSMUSG00000003072	10	79981652	ENSMUSG00000003072	79974466	1
ENSMUSG00000003099	7	16761849	ENSMUSG00000003099	16738565	-1
ENSMUSG00000003119	11	98169330	ENSMUSG00000003119	98093885	1
ENSMUSG00000003131	9	45923988	ENSMUSG00000003131	45874157	-1
ENSMUSG00000003135	1	39585970	ENSMUSG00000003135	39574073	1
ENSMUSG00000003153	6	122778599	ENSMUSG00000003153	122704768	-1
ENSMUSG00000003154	6	122822325	ENSMUSG00000003154	122796873	1
ENSMUSG00000003161	5	8119379	ENSMUSG00000003161	8096078	1
ENSMUSG00000003184	7	44652272	ENSMUSG00000003184	44647072	1
ENSMUSG00000003190	7	44648136	ENSMUSG00000003190	44640646	-1
ENSMUSG00000003226	10	58330178	ENSMUSG00000003226	58282742	1
ENSMUSG00000003269	7	45464005	ENSMUSG00000003269	45456061	-1
ENSMUSG00000003271	7	45434093	ENSMUSG00000003271	45379407	-1
ENSMUSG00000003273	7	45354106	ENSMUSG00000003273	45349267	1
ENSMUSG00000003282	4	3938423	ENSMUSG00000003282	3900996	-1
ENSMUSG00000003283	2	152993361	ENSMUSG00000003283	152950388	1
ENSMUSG00000003299	9	20920135	ENSMUSG00000003299	20914034	1
ENSMUSG00000003308	9	21150657	ENSMUSG00000003308	21141026	-1
ENSMUSG00000003316	8	111985848	ENSMUSG00000003316	111881053	-1
ENSMUSG00000003344	10	80492905	ENSMUSG00000003344	80478451	-1
ENSMUSG00000003345	10	80476583	ENSMUSG00000003345	80458672	1
ENSMUSG00000003346	10	80426175	ENSMUSG00000003346	80419488	-1
ENSMUSG00000003348	10	80537811	ENSMUSG00000003348	80521087	-1
ENSMUSG00000003363	7	27252643	ENSMUSG00000003363	27231425	-1
ENSMUSG00000003380	7	24672179	ENSMUSG00000003380	24669177	-1
ENSMUSG00000003382	3	87447463	ENSMUSG00000003382	87432714	1
ENSMUSG00000003402	9	21925518	ENSMUSG00000003402	21914102	1
ENSMUSG00000003411	4	108800521	ENSMUSG00000003411	108736260	1
ENSMUSG00000003420	7	44753275	ENSMUSG00000003420	44742414	-1
ENSMUSG00000003421	7	44727634	ENSMUSG00000003421	44711853	1
ENSMUSG00000003423	7	44809489	ENSMUSG00000003423	44803727	1
ENSMUSG00000003429	7	44773863	ENSMUSG00000003429	44771803	-1
ENSMUSG00000003435	7	28038171	ENSMUSG00000003435	28014316	-1
ENSMUSG00000003437	7	28098813	ENSMUSG00000003437	28092376	1
ENSMUSG00000003438	7	28011497	ENSMUSG00000003438	28004941	-1
ENSMUSG00000003444	7	28092133	ENSMUSG00000003444	28085571	-1
ENSMUSG00000003452	6	149464827	ENSMUSG00000003452	149310384	1
ENSMUSG00000003458	1	171910362	ENSMUSG00000003458	171893580	-1
ENSMUSG00000003464	1	171964060	ENSMUSG00000003464	171954322	1
ENSMUSG00000003500	6	29216363	ENSMUSG00000003500	29200433	-1
ENSMUSG00000003518	11	101877839	ENSMUSG00000003518	101861969	-1
ENSMUSG00000003549	7	19090449	ENSMUSG00000003549	19078703	1
ENSMUSG00000003573	8	70747011	ENSMUSG00000003573	70735477	1
ENSMUSG00000003575	8	70892229	ENSMUSG00000003575	70835005	-1
ENSMUSG00000003581	11	4091172	ENSMUSG00000003581	4085202	1
ENSMUSG00000003585	11	4073415	ENSMUSG00000003585	4047039	-1
ENSMUSG00000003604	2	112464918	ENSMUSG00000003604	112323309	1
ENSMUSG00000003623	5	9047324	ENSMUSG00000003623	9016033	-1
ENSMUSG00000003644	4	133615108	ENSMUSG00000003644	133574601	-1
ENSMUSG00000003660	2	127082371	ENSMUSG00000003660	127050306	1
ENSMUSG00000003662	2	127089736	ENSMUSG00000003662	127082858	-1
ENSMUSG00000003721	1	121260318	ENSMUSG00000003721	121232082	-1
ENSMUSG00000003731	4	129566560	ENSMUSG00000003731	129537773	-1
ENSMUSG00000003746	10	53952705	ENSMUSG00000003746	53780881	-1
ENSMUSG00000003752	7	26928086	ENSMUSG00000003752	26906597	-1
ENSMUSG00000003762	7	26957375	ENSMUSG00000003762	26932448	1
ENSMUSG00000003808	8	85595886	ENSMUSG00000003808	85583618	1
ENSMUSG00000003809	8	85620550	ENSMUSG00000003809	85613022	-1
ENSMUSG00000003810	4	116321380	ENSMUSG00000003810	116163959	-1
ENSMUSG00000003812	8	85649544	ENSMUSG00000003812	85635189	1
ENSMUSG00000003813	8	85567294	ENSMUSG00000003813	85560648	-1
ENSMUSG00000003814	8	85573563	ENSMUSG00000003814	85568479	-1
ENSMUSG00000003824	8	85614850	ENSMUSG00000003824	85598740	1
ENSMUSG00000003847	8	108106149	ENSMUSG00000003847	108020102	1
ENSMUSG00000003848	8	108151683	ENSMUSG00000003848	108139118	-1
ENSMUSG00000003849	8	108129838	ENSMUSG00000003849	108114857	-1
